No.;Time;Source;Destination;Protocol;Length;Info;;;Time 1;Time 2;Delay;Delay 1;Delay 2;Jitter
13169;49.691.298;34.120.208.123;192.168.100.42;TLSv1.2;123;[TCP Previous segment not captured] , Application Data;;;49.691.298;51.298.837;1.607.539;1607539;22378895;20771356
13760;51.298.837;103.121.159.87;192.168.100.42;TCP;60;[TCP Previous segment not captured] 443  >  62128 [ACK] Seq=15839 Ack=1677 Win=64128 Len=0;;;51.298.837;73.677.732;22.378.895;22378895;409907;-21968988
21878;73.677.732;74.125.24.101;192.168.100.42;TLSv1.2;93;[TCP Previous segment not captured] , Application Data;;;73.677.732;74.087.639;409.907;409907;14310427;13900520
22029;74.087.639;74.125.24.101;192.168.100.42;TCP;60;[TCP Previous segment not captured] 443  >  62059 [ACK] Seq=38430 Ack=56526 Win=3740 Len=0;;;74.087.639;88.398.066;14.310.427;14310427;18375593;4065166
26182;88.398.066;74.125.130.95;192.168.100.42;TCP;60;[TCP Previous segment not captured] 443  >  62074 [ACK] Seq=41 Ack=104 Win=305 Len=0;;;88.398.066;106.773.659;18.375.593;18375593;20601947;2226354
32423;106.773.659;74.125.24.102;192.168.100.42;TCP;66;[TCP Previous segment not captured] 443  >  62086 [ACK] Seq=41 Ack=104 Win=313 Len=0 SLE=40 SRE=103;;;106.773.659;127.375.606;20.601.947;20601947;3999482;-16602465
40101;127.375.606;118.98.109.81;192.168.100.42;TCP;60;[TCP Previous segment not captured] 443  >  62220 [ACK] Seq=4971 Ack=607 Win=66816 Len=0;;;127.375.606;131.375.088;3.999.482;3999482;1002195;-2997287
41456;131.375.088;36.92.238.142;192.168.100.42;TCP;60;[TCP Previous segment not captured] 443  >  62225 [ACK] Seq=4971 Ack=607 Win=66816 Len=0;;;131.375.088;132.377.283;1.002.195;1002195;36789853;35787658
41734;132.377.283;36.92.238.142;192.168.100.42;TCP;60;[TCP Previous segment not captured] 443  >  62229 [ACK] Seq=4971 Ack=607 Win=66816 Len=0;;;132.377.283;169.167.136;36.789.853;36789853;53310684;16520831
57945;169.167.136;34.120.208.123;192.168.100.42;TCP;66;[TCP Previous segment not captured] 443  >  62127 [ACK] Seq=4392 Ack=2117 Win=76032 Len=0 SLE=2071 SRE=2117;;;169.167.136;222.477.820;53.310.684;53310684;13113279;-40197405
78780;222.477.820;34.120.208.123;192.168.100.42;TCP;60;[TCP Previous segment not captured] 443  >  62127 [ACK] Seq=4393 Ack=2195 Win=76032 Len=0;;;222.477.820;235.591.099;13.113.279;13113279;59354862;46241583
84297;235.591.099;74.125.24.101;192.168.100.42;TLSv1.2;693;[TCP Previous segment not captured] , Application Data;;;235.591.099;294.945.961;59.354.862;59354862;4515321;-54839541
104312;294.945.961;142.251.10.95;192.168.100.42;TLSv1.3;85;[TCP Previous segment not captured] , Application Data;;;294.945.961;299.461.282;4.515.321;4515321;4805792;290471
105451;299.461.282;74.125.24.101;192.168.100.42;TLSv1.2;93;[TCP Previous segment not captured] , Application Data;;;299.461.282;304.267.074;4.805.792;4805792;226539;-4579253
107231;304.267.074;34.120.3.51;192.168.100.42;TLSv1.2;1466;[TCP Previous segment not captured] , Ignored Unknown Record;;;304.267.074;304.493.613;226.539;226539;27005;-199534
107465;304.493.613;34.120.3.51;192.168.100.42;TCP;737;[TCP Previous segment not captured] 443  >  62301 [PSH, ACK] Seq=2825 Ack=518 Win=66816 Len=683 [TCP segment of a reassembled PDU];;;304.493.613;304.520.618;27.005;27005;563561;536556
107486;304.520.618;142.251.10.95;192.168.100.42;TLSv1.3;85;[TCP Previous segment not captured] , Application Data;;;304.520.618;305.084.179;563.561;563561;908810;345249
107908;305.084.179;192.168.100.42;35.241.59.85;TCP;54;[TCP Previous segment not captured] 62317  >  443 [ACK] Seq=23768 Ack=4469 Win=65280 Len=0;;;305.084.179;305.992.989;908.810;908810;3769468;2860658
108406;305.992.989;142.251.12.157;192.168.100.42;TLSv1.2;1466;[TCP Previous segment not captured] , Ignored Unknown Record;;;305.992.989;309.762.457;3.769.468;3769468;18657;-3750811
109660;309.762.457;34.120.3.51;192.168.100.42;TLSv1.3;397;[TCP Previous segment not captured] , Application Data;;;309.762.457;309.781.114;18.657;18657;0;-18657
109700;309.781.114;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Application Data;;;309.781.114;309.781.114;0;0;19427;19427
109701;309.781.114;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Application Data, Application Data;;;309.781.114;309.800.541;19.427;19427;39133;19706
109715;309.800.541;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Continuation Data;;;309.800.541;309.839.674;39.133;39133;3065;-36068
109787;309.839.674;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Continuation Data;;;309.839.674;309.842.739;3.065;3065;3396;331
109794;309.842.739;34.120.3.51;192.168.100.42;TCP;1466;[TCP Previous segment not captured] 443  >  62334 [ACK] Seq=60942 Ack=2146 Win=78080 Len=1412;;;309.842.739;309.846.135;3.396;3396;6204;2808
109802;309.846.135;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Continuation Data;;;309.846.135;309.852.339;6.204;6204;4482;-1722
109812;309.852.339;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Continuation Data;;;309.852.339;309.856.821;4.482;4482;7798;3316
109824;309.856.821;34.120.3.51;192.168.100.42;TCP;66;[TCP Previous segment not captured] 443  >  62334 [ACK] Seq=84946 Ack=2146 Win=80896 Len=0 SLE=2177 SRE=2216;;;309.856.821;309.864.619;7.798;7798;10026;2228
109832;309.864.619;34.120.3.51;192.168.100.42;TCP;1466;[TCP Previous segment not captured] 443  >  62334 [PSH, ACK] Seq=89170 Ack=2146 Win=80896 Len=1400 SLE=2177 SRE=2216 [TCP segment of a reassembled PDU];;;309.864.619;309.874.645;10.026;10026;25004;14978
109839;309.874.645;34.120.3.51;192.168.100.42;TCP;1466;[TCP Previous segment not captured] 443  >  62334 [PSH, ACK] Seq=94770 Ack=2146 Win=80896 Len=1400 SLE=2177 SRE=2216 [TCP segment of a reassembled PDU];;;309.874.645;309.899.649;25.004;25004;60058;35054
109885;309.899.649;34.120.3.51;192.168.100.42;TLSv1.3;294;[TCP Previous segment not captured] , Continuation Data;;;309.899.649;309.959.707;60.058;60058;49237;-10821
109928;309.959.707;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Continuation Data;;;309.959.707;310.008.944;49.237;49237;43364;-5873
109975;310.008.944;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Continuation Data;;;310.008.944;310.052.308;43.364;43364;1424;-41940
110027;310.052.308;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Continuation Data;;;310.052.308;310.053.732;1.424;1424;2906;1482
110030;310.053.732;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Continuation Data;;;310.053.732;310.056.638;2.906;2906;2367;-539
110034;310.056.638;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Continuation Data;;;310.056.638;310.059.005;2.367;2367;50137;47770
110037;310.059.005;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Continuation Data;;;310.059.005;310.109.142;50.137;50137;3113570;3063433
110072;310.109.142;34.120.3.51;192.168.100.42;TCP;66;[TCP Previous segment not captured] 443  >  62334 [ACK] Seq=179675 Ack=2216 Win=80896 Len=0 SLE=2177 SRE=2216;;;310.109.142;313.222.712;3.113.570;3113570;10877;-3102693
111410;313.222.712;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Application Data;;;313.222.712;313.233.589;10.877;10877;1383777;1372900
111426;313.233.589;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Application Data;;;313.233.589;314.617.366;1.383.777;1383777;6341;-1377436
111735;314.617.366;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Application Data;;;314.617.366;314.623.707;6.341;6341;71798;65457
111745;314.623.707;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Application Data;;;314.623.707;314.695.505;71.798;71798;5411;-66387
111835;314.695.505;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Continuation Data;;;314.695.505;314.700.916;5.411;5411;1708;-3703
111841;314.700.916;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Continuation Data;;;314.700.916;314.702.624;1.708;1708;45979;44271
111847;314.702.624;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Continuation Data;;;314.702.624;314.748.603;45.979;45979;4590;-41389
